,Accuracy,Val Accuracy,Loss,Val_Loss
0,0.513178288936615,0.8057142496109009,1.0341355800628662,0.6860542297363281
1,0.751937985420227,0.8571428656578064,0.6922971606254578,0.4053198993206024
2,0.7875968813896179,0.8771428465843201,0.5708959102630615,0.39590466022491455
3,0.8031007647514343,0.868571400642395,0.5252240896224976,0.3764527142047882
4,0.8124030828475952,0.8600000143051147,0.5025325417518616,0.34383127093315125
5,0.8031007647514343,0.8857142925262451,0.4890648126602173,0.34611260890960693
6,0.7906976938247681,0.8628571629524231,0.5031583309173584,0.35624265670776367
7,0.8186046481132507,0.8771428465843201,0.44536998867988586,0.30750104784965515
8,0.8403100967407227,0.8742856979370117,0.444108247756958,0.3035702407360077
9,0.8372092843055725,0.8628571629524231,0.43410441279411316,0.3399488031864166
10,0.8108527064323425,0.8771428465843201,0.4565313756465912,0.30130016803741455
11,0.8620154857635498,0.8942856788635254,0.37829649448394775,0.2676660716533661
12,0.817054271697998,0.8999999761581421,0.4542807340621948,0.31613996624946594
13,0.8465116024017334,0.868571400642395,0.4321802258491516,0.3251626193523407
14,0.8325581550598145,0.9085714221000671,0.4239794909954071,0.2854430079460144
15,0.8496124148368835,0.9028571248054504,0.4072507917881012,0.28260937333106995
16,0.8307692408561707,0.8971428275108337,0.43764981627464294,0.2879471480846405
17,0.8465116024017334,0.8971428275108337,0.39722704887390137,0.2757798731327057
18,0.8666666746139526,0.8857142925262451,0.36075112223625183,0.2744060456752777
19,0.8527131676673889,0.8885714411735535,0.3815103769302368,0.27498242259025574
